created,type,artist,timestamp,shabadID,verseID,description,link,matched_verse
1713468873,random,Bhai Tejinderpal Singh Ji Dulla,01:10:33,515,7178,aavahu sa(n)tahu mil naam japaahaa ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/sc/nirbankeertan/Soo soo jap dhin raathee (Dulla Ji).mp3,ਆਵਹੁ ਸੰਤਹੁ ਮਿਲਿ ਨਾਮੁ ਜਪਾਹਾ ॥
1713471192,random,Bhai Mohinder Singh Ji SDO,00:25:28,3442,40385,sabadhai kaa nibeRaa sun too aaudhoo bin naavai jogu. na hoiee ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/443 MGA SDO 1405 Naam Binaa Nahi.m4a,ਸਬਦੈ ਕਾ ਨਿਬੇੜਾ ਸੁਣਿ ਤੂ ਅਉਧੂ ਬਿਨੁ ਨਾਵੈ ਜੋਗੁ ਨ ਹੋਈ ॥
1714421724,random,Bhai Mohinder Singh Ji SDO,00:02:45,,,Panth Khalsa keti meri. Satgur vadyaiee,"https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_heeraRattan/094 Bhai Mohinder Singh Ji SDO Milwaukee 06,1983 (1) (heeraRattan).mp3",
1714421956,random,Bhai Mohinder Singh Ji SDO,00:04:15,182,2933,ਮਾਰਿਆ ਸਿਕਾ ਜਗਤਿ ਵਿਚਿ ਨਾਨਕ ਨਿਰਮਲ ਪੰਥੁ ਚਲਾਇਆ ।,"https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_heeraRattan/094 Bhai Mohinder Singh Ji SDO Milwaukee 06,1983 (1) (heeraRattan).mp3",ਪ੍ਰਭਿ ਅਪਣਾ ਬਿਰਦੁ ਸਮਾਰਿਆ ॥
1714422013,random,Bhai Mohinder Singh Ji SDO,00:05:12,5423,59356,lahanai. pa(n)th dharam kaa keeaa ||,"https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_heeraRattan/094 Bhai Mohinder Singh Ji SDO Milwaukee 06,1983 (1) (heeraRattan).mp3",ਲਹਣੈ ਪੰਥੁ ਧਰਮ ਕਾ ਕੀਆ ॥
1714431906,random,Bhai Mohinder Singh Ji SDO,00:18:14,,,Jhulte nishan re panth maharaj ke,"https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_heeraRattan/094 Bhai Mohinder Singh Ji SDO Milwaukee 06,1983 (1) (heeraRattan).mp3",
1714432561,random,Bhai Mohinder Singh Ji SDO,00:13:15,,,Agyaa bhiee akal ki. Tabhi chalyo panth. Guru manyo Granth ,"https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_heeraRattan/094 Bhai Mohinder Singh Ji SDO Milwaukee 06,1983 (1) (heeraRattan).mp3",
1715037549,random,Bhai Mohinder Singh Ji SDO,00:03:30,5,39,ਅਲਹੁ ਅਲਖੁ. ਨ ਜਾਈ ਲਖਿਆ ਗੁਰਿ. ਗੁੜੁ ਦੀਨਾ ਮੀਠਾ ॥ alahu alakhu. na jaiee lakhiaa guri. guR dheenaa meeThaa || The Lord Allah is Unseen; He cannot be seen. The Guru has blessed me with this sweet molasses. ਕਹਿ ਕਬੀਰ. ਮੇਰੀ ਸੰਕਾ ਨਾਸੀ ਸਰਬ ਨਿਰੰਜਨੁ ਡੀਠਾ ॥੪॥੩॥,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_heeraRattan/037 Bhai Mohinder Singh Ji SDO Faridabad Smagam 1980 (heeraRattan).mp3,ਆਪੇ ਆਪਿ ਨਿਰੰਜਨੁ ਸੋਇ ॥
1715117856,SDO_MGA_1,Bhai Mohinder Singh Ji SDO,00:06:52,2254,25840,har naamai kaa ham lekhaa likhiaa sabh jam kee agalee kaan giee ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/061 MGA SDO 1061 Track No 1.m4a,ਹਰਿ ਨਾਮੈ ਕਾ ਹਮ ਲੇਖਾ ਲਿਖਿਆ ਸਭ ਜਮ ਕੀ ਅਗਲੀ ਕਾਣਿ ਗਈ ॥
1715812845,random,Bhai Harpreet Singh Ji Toronto,00:15:06,122,1672,"ras a(n)mrit naam rasu, at bhalaa kit bidh milai. ras khai ||",https://akj.media/Media/Keertan/NewYork/2018/047_NewYork_Aug2018_SatE_RSK_BhaiHarpreetSinghJeeToronto.mp3,ਰਸੁ ਅੰਮ੍ਰਿਤੁ ਨਾਮੁ ਰਸੁ ਅਤਿ ਭਲਾ ਕਿਤੁ ਬਿਧਿ ਮਿਲੈ ਰਸੁ ਖਾਇ ॥
1716313640,random,Bhai Mohinder Singh Ji SDO,00:10:53,4810,56255,har jan gun gaavat hasiaa ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_heeraRattan/019 Bhai Mohinder Singh Ji SDO 1979 Milwaukee 2 (heeraRattan).mp3,ਹਰਿ ਜਨੁ ਗੁਨ ਗਾਵਤ ਹਸਿਆ ॥
1716336745,SDO_MGA_1,Bhai Mohinder Singh Ji SDO,00:08:10,410,5935,poore gur kee kaar karam kamaieeaai ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/061 MGA SDO 1061 Track No 1.m4a,ਪੂਰੇ ਗੁਰ ਕੀ ਕਾਰ ਕਰਮਿ ਕਮਾਈਐ ॥
1716469462,random,Sri Hit Premanand Govind Sharan Ji,00:06:36,,,"chhaadd man hari, bimukhan ko sa(n)g ||",https://s3.us-east-1.amazonaws.com/keerat.xyz/snatan/Sri Hit Premanand Govind Sharan Ji/Kuch ansuljhe prshn  bhaag-23  Shri Hit Premanand Govind Sharan Ji Maharaj  GlDaC1kJjP8.mp3,
1716591949,random,Bhai Mohinder Singh Ji SDO,00:28:41,3065,34662,charan kamal gur ke japat har jap hau jeevaa ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/aisa_keertan/Meetee Pireh Kahani.mp3,ਚਰਨ ਕਮਲ ਗੁਰ ਕੇ ਜਪਤ ਹਰਿ ਜਪਿ ਹਉ ਜੀਵਾ ॥
1716950807,SDO_MGA_1,Bhai Mohinder Singh Ji SDO,00:10:05,,,har kee tum sevaa karahu dhoojee sevaa. karahu na koi jee ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/061 MGA SDO 1061 Track No 1.m4a,
1717037926,SDO_MGA_1,Bhai Mohinder Singh Ji SDO,00:16:04,410,5937,dhoojee kaarai lag janam gavaieeaai ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/061 MGA SDO 1061 Track No 1.m4a,ਦੂਜੀ ਕਾਰੈ ਲਗਿ ਜਨਮੁ ਗਵਾਈਐ ॥
1717040652,SDO_MGA_1,Bhai Mohinder Singh Ji SDO,00:19:56,369,5665,eik khaRe kareh teree chaakaree vin naavai. hor na bhaiaa ||,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/061 MGA SDO 1061 Track No 1.m4a,ਇਕਿ ਖੜੇ ਕਰਹਿ ਤੇਰੀ ਚਾਕਰੀ ਵਿਣੁ ਨਾਵੈ ਹੋਰੁ ਨ ਭਾਇਆ ॥
1717115247,random,Gurmail Singh Ji,00:00:00,4708,55483,keerat prabh kee gaau meree rasanaa(n) ||,https://kirtansewa.net/wp-content/uploads/2020/07/Bhai-Gurmail-Singh-Amritsar-01-Kirat-Prabh-Ki-Gao-Meri-Rasna.mp3,ਕੀਰਤਿ ਪ੍ਰਭ ਕੀ ਗਾਉ ਮੇਰੀ ਰਸਨਾਂ ॥
