created,type,artist,timestamp,shabadID,verseID,description,link,matched_verse
NA,random,Bhai Harpreet Singh Ji Toronto,00:37:18,687,9290,Aaoo Hamare Raam Pyare Jio,https://akj.media/Media/Keertan/NewYork/2016/046_NewYork_Aug2016_SatE_RSK_BhaiHarpreetSinghJeeToronto.mp3,ਆਉ ਹਮਾਰੈ ਰਾਮ ਪਿਆਰੇ ਜੀਉ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:29:00,1429,16753,Nayee suniya man triptiyaaa and suniyaa pauirss,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/649 MGA SDO 1611 Sarwani kirtan Suno Din Raati LD A 01 1978 Old Spool KS 1 Top Most.m4a,ਨਾਮਿ ਸੁਨਿਐ ਮਨੁ ਤ੍ਰਿਪਤੈ ਮੇਰੇ ਭਾਈ ॥੧॥
NA,random,Bhai Mohinder Singh Ji SDO,00:34:40,1684,20739,Sanmukh Seh Ban,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/649 MGA SDO 1611 Sarwani kirtan Suno Din Raati LD A 01 1978 Old Spool KS 1 Top Most.m4a,
NA,random,Bhai Mohinder Singh Ji SDO,00:37:00,3279,37341,Dhun Meh Dhyan Simran,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/649 MGA SDO 1611 Sarwani kirtan Suno Din Raati LD A 01 1978 Old Spool KS 1 Top Most.m4a,ਧੁਨਿ ਮਹਿ ਧਿਆਨੁ ਧਿਆਨ ਮਹਿ ਜਾਨਿਆ ਗੁਰਮੁਖਿ ਅਕਥ ਕਹਾਨੀ ॥੩॥
NA,random,Bhai Mohinder Singh Ji SDO,00:40:00,4193,50585,"Gobind Jio ,Mere Man tan Naam har bidhe",https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/649 MGA SDO 1611 Sarwani kirtan Suno Din Raati LD A 01 1978 Old Spool KS 1 Top Most.m4a,ਗੋਬਿੰਦ ਜੀਉ ਮੇਰੇ ਮਨ ਤਨ ਨਾਮ ਹਰਿ ਬੀਧੇ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:00:00,,,Simran track,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/213 MGA SDO 1178 40 A.m4a,
NA,random,Bhai Mohinder Singh Ji SDO,00:09:45,1680,20632,Bhinee raanRiyee,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/241 MGA SDO 1206 54 A.m4a,ਭਿੰਨੀ ਰੈਨੜੀਐ ਚਾਮਕਨਿ ਤਾਰੇ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:00:45,5470,59590,Partach ridya gur arjan kaa har puran bhram nivas liyoo,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/595 MGA SDO 1557 Sab Kish Pura Hirde MSA 003 ASR 1979.m4a,ਪਰਤਛਿ ਰਿਦੈ ਗੁਰ ਅਰਜੁਨ ਕੈ ਹਰਿ ਪੂਰਨ ਬ੍ਰਹਮਿ ਨਿਵਾਸੁ ਲੀਅਉ ॥੫॥
NA,random,Bhai Mohinder Singh Ji SDO,0:00:00,4283,51864,Amrit naam swami tera,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/121 MGA SDO 1087 SM.m4a,ਅੰਮ੍ਰਿਤ ਨਾਮੁ ਸੁਆਮੀ ਤੇਰਾ ਜੋ ਪੀਵੈ ਤਿਸ ਹੀ ਤ੍ਰਿਪਤਾਸ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:14:55,4261,51636,Koi ava Santo,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/021 MGA SDO 1021 smpk 19 Gur Satgur Vich Nave Ke Vaddi vaadai.m4a,ਕੋਈ ਆਵੈ ਸੰਤੋ ਹਰਿ ਕਾ ਜਨੁ ਸੰਤੋ ਮੇਰਾ ਪ੍ਰੀਤਮ ਜਨੁ ਸੰਤੋ ਮੋਹਿ ਮਾਰਗੁ ਦਿਖਲਾਵੈ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:27:00,588,8233,Bhaj man mere ekyo naam,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/021 MGA SDO 1021 smpk 19 Gur Satgur Vich Nave Ke Vaddi vaadai.m4a,ਭਜੁ ਮਨ ਮੇਰੇ ਏਕੋ ਨਾਮ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:40:00,2838,31812,Se sanjyog ,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/021 MGA SDO 1021 smpk 19 Gur Satgur Vich Nave Ke Vaddi vaadai.m4a,ਸੇ ਸੰਜੋਗ ਕਰਹੁ ਮੇਰੇ ਪਿਆਰੇ ॥
NA,random,Bhai Mohinder Singh Ji SDO,01:03:40,1833,22114,Gurmukh sakhi laheli meri,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/021 MGA SDO 1021 smpk 19 Gur Satgur Vich Nave Ke Vaddi vaadai.m4a,ਗੁਰਮੁਖਿ ਸਖੀ ਸਹੇਲੀ ਮੇਰੀ ਮੋ ਕਉ ਦੇਵਹੁ ਦਾਨੁ ਹਰਿ ਪ੍ਰਾਨ ਜੀਵਾਇਆ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:22:00,2062,23769,Jagat meh chuuthi deki preet,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/543 MGA SDO 1505 123A Sabh Dhan kaho Gur Satgur.m4a,ਜਗਤ ਮੈ ਝੂਠੀ ਦੇਖੀ ਪ੍ਰੀਤਿ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:09:30,233,3474,Sab papi tareya,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/553 MGA SDO 1515 Tere Jan Dekhan Paavaan 403 Delhi 1974.m4a,ਜੋ ਮਿਲਿਆ ਹਰਿ ਦੀਬਾਣ ਸਿਉ ਸੋ ਸਭਨੀ ਦੀਬਾਣੀ ਮਿਲਿਆ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:00:00,1645,19921,Tin jam neR na avA Gur Shabad Kamavaa,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/553 MGA SDO 1515 Tere Jan Dekhan Paavaan 403 Delhi 1974.m4a,ਤਿਨ ਜਮੁ ਨੇੜਿ ਨ ਆਵੈ ਗੁਰ ਸਬਦੁ ਕਮਾਵੈ ਕਬਹੁ ਨ ਆਵਹਿ ਹਾਰਿ ਜੀਉ ॥
NA,random,Bhai Mohinder Singh Ji SDO,0:00,3093,34882,Satgur Shabad ojaro deepa,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/239 MGA SDO 1204 53 A.m4a,ਸਤਿਗੁਰ ਸਬਦਿ ਉਜਾਰੋ ਦੀਪਾ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:24:50,1680,20632,Bhini ranRiye,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/239 MGA SDO 1204 53 A.m4a,ਭਿੰਨੀ ਰੈਨੜੀਐ ਚਾਮਕਨਿ ਤਾਰੇ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:04:35,3375,39161,Anand anand sab ko kahaa ,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/229 MGA SDO 1194 48 A.m4a,ਆਨੰਦੁ ਆਨੰਦੁ ਸਭੁ ਕੋ ਕਹੈ ਆਨੰਦੁ ਗੁਰੂ ਤੇ ਜਾਣਿਆ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:23:00,40197,201651,(Gursikhi barik haa)gur sikhee baareek hai sil chaTan fikee,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/229 MGA SDO 1194 48 A.m4a,ਗੁਰ ਸਿਖੀ ਬਾਰੀਕ ਹੈ ਸਿਲ ਚਟਣੁ ਫਿਕੀ।
NA,random,Bhai Mohinder Singh Ji SDO,00:00:00,588,8233,Bhaj man mere eko naam,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/249 MGA SDO 1214 58 A.m4a,ਭਜੁ ਮਨ ਮੇਰੇ ਏਕੋ ਨਾਮ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:00:00,3259,37031,Sadhu bin Ase abgat,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/700 MGA SDO 1662 Sadhu Bin Ase Abgat Jave 03 1962 Anp Sahib Spool KS 67.m4a,ਸਾਧੂ ਬਿਨੁ ਐਸੇ ਅਬਗਤੁ ਜਾਵੈ ॥੧॥
NA,random,Bhai Mohinder Singh Ji SDO,00:32:50,,23846,Gur Amrit har much choiyaa,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/700 MGA SDO 1662 Sadhu Bin Ase Abgat Jave 03 1962 Anp Sahib Spool KS 67.m4a,
NA,random,Bhai Mohinder Singh Ji SDO,00:01:00,,47560,Har naam dyaiyaa Shabad raas payiaa,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/252 MGA SDO 1217 59 B.m4a,
NA,random,Bhai Mohinder Singh Ji SDO,00:00:00,3930,47046,Jin Jan gurmukh seviya (attempt lol),https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/117 MGA SDO 1083 M 32 B GURU LINE IN TRACK 03.m4a,ਜਿਨਿ ਜਨਿ ਗੁਰਮੁਖਿ ਸੇਵਿਆ ਤਿਨਿ ਸਭਿ ਸੁਖ ਪਾਈ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:23:00,2012,23406,Ari bhai gobind naam mat veesraa,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/452 MGA SDO 1414 Mai Sat Sat Sat India 1980s.m4a,ਅਰੀ ਬਾਈ ਗੋਬਿਦ ਨਾਮੁ ਮਤਿ ਬੀਸਰੈ ॥ ਰਹਾਉ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:00:00,1648,20034,Dhan so vela,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/392 MGA SDO 1357 M 109 A 1 Dhan So Vela Jit Mai Satgur Milyia.m4a,ਧੰਨੁ ਸੁ ਵੇਲਾ ਜਿਤੁ ਮੈ ਸਤਿਗੁਰੁ ਮਿਲਿਆ ਸੋ ਸਹੁ ਚਿਤਿ ਆਇਆ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:00:00,2883,32567,Hau aya dooro chal keee(gunvanti),https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/002 MGA SDO 1002 SDOBradford2 How Ayaaia Dooro Chalke.m4a,ਹਉ ਆਇਆ ਦੂਰਹੁ ਚਲਿ ਕੈ ਮੈ ਤਕੀ ਤਉ ਸਰਣਾਇ ਜੀਉ ॥
NA,random,Bhai Mohinder Singh Ji SDO,00:08:45,2650,30031,Har har bhagat driraavo,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/002 MGA SDO 1002 SDOBradford2 How Ayaaia Dooro Chalke.m4a,ਹਰਿ ਹਰਿ ਹਰਿ ਹਰਿ ਭਗਤਿ ਦ੍ਰਿੜਾਵਹੁ ਹਰਿ ਹਰਿ ਨਾਮੁ ਓੁਮਾਹਾ ਰਾਮ ॥੧॥
NA,random,Bhai Mohinder Singh Ji SDO,00:23:00,4344,52291,Dhanvant naam ke vanjare,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/002 MGA SDO 1002 SDOBradford2 How Ayaaia Dooro Chalke.m4a,ਧਨਵੰਤ ਨਾਮ ਕੇ ਵਣਜਾਰੇ ॥
NA,random,Shamsher Singh,00:00:00,,,Naam Japandari Lali,https://sgpc.net/puratan-kirtan/SHAMSHER SINGH/14_Bhai_ShemSher_Singh_Jee_Bhai_MohanPal_Singh_Jee_Gur_Darshan_Dekh_Nihalae%5B1%5D.mp3,
1676779637,random,Bhai Joginder Singh Talwara,00:00:00,1349,15353,Udho na kaga,https://www.ikirtan.com/Bhai_Joginder_Singh_Jee_Talwara/Bhaaee Joginder Singh %28Uddoh na kaagaa kaarey%29.mp3,ਉਡਹੁ ਨ ਕਾਗਾ ਕਾਰੇ ॥
1676780227,random,Bhai Tejinderpal Singh Ji Dulla,00:00:00,4188,50530,Gur ki Bani vitho,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/sc/scottishsikhs/Gur Kee Baanee Vittahu Vaariaa Bhaaee Gur Sabadh Vittahu Bal Jaaee (Dulla Ji).mp3,ਗੁਰਿ ਰਾਖੇ ਸੇ ਉਬਰੇ ਭਾਈ ਹਰਿ ਰਸੁ ਅੰਮ੍ਰਿਤੁ ਪੀਆਇ ॥
1676781057,random,Bhai Tejinderpal Singh Ji Dulla,00:00:00,2370,27150,Mera mat pita har raia ,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/sc/scottishsikhs/Maeraa Maath Pithaa Har Raaeiaa (Dulla Ji).mp3,ਮੇਰਾ ਮਾਤ ਪਿਤਾ ਹਰਿ ਰਾਇਆ ॥
1676821047,random,Bhai Mohinder Singh Ji SDO,00:00:00,1438,16859,Maa Prem ras paya ,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/301 MGA SDO 1266 M 23 B 1.m4a,ਸੁਨਹੁ ਲੋਕਾ ਮੈ ਪ੍ਰੇਮ ਰਸੁ ਪਾਇਆ ॥
1676833907,random,Bhai Mehar Singh Ji,00:00:00,277,3840,dha(n)nu su dhes jahaa too(n) vasiaa,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mehar Singh/Bhai Mehar Singh - Dhannu Su Dhes Jahaa Toon Vasiaa.mp3,ਧੰਨੁ ਸੁ ਦੇਸੁ ਜਹਾ ਤੂੰ ਵਸਿਆ ਮੇਰੇ ਸਜਣ ਮੀਤ ਮੁਰਾਰੇ ਜੀਉ ॥੨॥
1676839713,random,Bhai Mohinder Singh Ji SDO,00:04:00,311,4279,Prabh milne ki eh nishani,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/611 MGA SDO 1573 Gur Poore Charan Kamal Man Voothe Delhi 1990 JS.m4a,ਪ੍ਰਭ ਮਿਲਣੈ ਕੀ ਏਹ ਨੀਸਾਣੀ ॥
1676839947,random,Bhai Mohinder Singh Ji SDO,00:00:00,2679,30266,Ab man Chout gyaa,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/612 MGA SDO 1574 Ab Man Choot Gyiae HSP 03 1958 SPOOL KS 4 Top Most.m4a,ਅਬ ਮਨੁ ਛੂਟਿ ਗਇਆ ਸਾਧੂ ਸੰਗਿ ਮਿਲੇ ॥
1676840977,random,Bhai Harpreet Singh Ji Toronto,00:15:00,,,Vari tin vari java,https://akj.media/Media/Keertan/Toronto/2006/082_Toronto_Dec2006_ThuE_AK_BhaiHarpreetSinghJeeToronto.mp3,
1676842913,random,Bhai Mohinder Singh Ji SDO,00:02:00,2029,23538,akv Har Raam jap laha ,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/212 MGA SDO 1177 39 B.m4a,ਹਰਿ ਰਾਮ ਨਾਮੁ ਜਪਿ ਲਾਹਾ ॥
1676843694,random,Bhai Mohinder Singh Ji SDO,00:06:00,,,Fire mangals in beginning. Then bhagat so hey ,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Bhagat Sohey Guhn Gavday.mp3,
1676857526,random,Bhai Harpreet Singh Ji Toronto,00:36:00,639,8788,Prabh mil be ko preet man lagiw,https://akj.media/Media/Keertan/NewJersey/1993/001_NewJersey_Dec1993_SatE_RSK_BhaiHarpreetSinghJeeToronto.mp3,ਪ੍ਰਭ ਮਿਲਬੇ ਕਉ ਪ੍ਰੀਤਿ ਮਨਿ ਲਾਗੀ ॥
1676866315,random,Bhai Tejinderpal Singh Ji Dulla,00:22:40,650,8898,Milho pyara jee,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/yt/D 172 MGA DULLA 172 Bin Bhaagaa Sathasang N Labhai 1998 Moga-ksLU7QaHS2c.mp3,ਮਿਲਹੁ ਪਿਆਰੇ ਜੀਆ ॥
1676867068,random,Bhai Tejinderpal Singh Ji Dulla,00:33:40,3050,34497,Santan ka Dana rooka,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/yt/D 172 MGA DULLA 172 Bin Bhaagaa Sathasang N Labhai 1998 Moga-ksLU7QaHS2c.mp3,ਸੰਤਨ ਕਾ ਦਾਨਾ ਰੂਖਾ ਸੋ ਸਰਬ ਨਿਧਾਨ ॥
1676867686,random,Bhai Tejinderpal Singh Ji Dulla,00:54:30,3107,34991,Nanak daas ehi daan manga ,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/yt/D 172 MGA DULLA 172 Bin Bhaagaa Sathasang N Labhai 1998 Moga-ksLU7QaHS2c.mp3,ਕਬਹੂ ਨ ਬਿਸਰੈ ਹੀਏ ਮੋਰੇ ਤੇ ਨਾਨਕ ਦਾਸ ਇਹੀ ਦਾਨੁ ਮੰਗਾ ॥੨॥੧੫॥੧੦੧॥
1677272568,random,Bhai Mohinder Singh Ji SDO,00:05:00,650,8907,Dhan guru Arjan dev sahib ji,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Soee Hoaa Jo This Bhaanaa Avar N Kin Hee Keethaa.mp3,ਕਰਿ ਕਿਰਪਾ ਧੂਰਿ ਦੇਹੁ ਸੰਤਨ ਕੀ ਸੁਖੁ ਨਾਨਕੁ ਇਹੁ ਬਾਛੈ ॥੪॥੯॥੧੩੦॥
1677274800,random,Bhai Mohinder Singh Ji SDO,00:18:53,2882,32554,Suchaji. Connects soe hoa jo tis bhana -> bhana takhat vadiyaa. Brilliant!!,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Soee Hoaa Jo This Bhaanaa Avar N Kin Hee Keethaa.mp3,ਭਾਣੈ ਤਖਤਿ ਵਡਾਈਆ ਭਾਣੈ ਭੀਖ ਉਦਾਸਿ ਜੀਉ ॥
1677276575,random,Bhai Mohinder Singh Ji SDO,1:06:45,2859,32034,Mere Raam rai muj te cachu na hoie. Sri mukhvach patshai 5 at 1:07:25,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Soee Hoaa Jo This Bhaanaa Avar N Kin Hee Keethaa.mp3,ਮੇਰੇ ਰਾਮ ਰਾਇ ਮੁਝ ਤੇ ਕਛੂ ਨ ਹੋਈ ॥
1677276825,random,Bhai Mohinder Singh Ji SDO,00:14:30,2012,23406,Ari bhai gobind naam mat beesraa ,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Aadhi Such Jugaadi Such.mp3,ਅਰੀ ਬਾਈ ਗੋਬਿਦ ਨਾਮੁ ਮਤਿ ਬੀਸਰੈ ॥ ਰਹਾਉ ॥
1677277106,random,Bhai Mohinder Singh Ji SDO,00:39:20,,,Cool katha lol. Updesh je dita satguru. And sarabloh maharaj Vaheguru mantar. Vaheguru gurshabad haa,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Aadhi Such Jugaadi Such.mp3,
1677277276,random,Bhai Mohinder Singh Ji SDO,00:52:10,2587,29318,Gur ka bachan basaa ji nale ,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Eae Man Piaariaa Thoo Sadhaa Sach Samaalae.mp3,ਗੁਰ ਕਾ ਬਚਨੁ ਬਸੈ ਜੀਅ ਨਾਲੇ ॥
1677283958,random,Bhai Mohinder Singh Ji SDO,00:00:00,,,Dhan so Vela,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Eae Man Maeriaa Thoo Kiaa Lai Aaeiaa Kiaa Lai Jaaeisee Raam.mp3,
1677284163,random,Bhai Mohinder Singh Ji SDO,00:01:25,4739,55725,Saas saas dhiyavo mukh nahi mora. Prabh ji ko naam ant pukroraa,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Eae Man Maeriaa Thoo Kiaa Lai Aaeiaa Kiaa Lai Jaaeisee Raam.mp3,ਸਾਸਿ ਸਾਸਿ ਧਿਆਵਹੁ ਮੁਖੁ ਨਹੀ ਮੋਰੈ ॥
1677284390,random,Bhai Mohinder Singh Ji SDO,00:50:20,1680,20632,Bhinee RaanaReyaa,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Eae Man Maeriaa Thoo Kiaa Lai Aaeiaa Kiaa Lai Jaaeisee Raam.mp3,ਭਿੰਨੀ ਰੈਨੜੀਐ ਚਾਮਕਨਿ ਤਾਰੇ ॥
1677284558,random,Bhai Mohinder Singh Ji SDO,00:51:55,236,3502,Bhinee ->. Har ke sant suno,https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Eae Man Maeriaa Thoo Kiaa Lai Aaeiaa Kiaa Lai Jaaeisee Raam.mp3,ਹਰਿ ਕੇ ਸੰਤ ਸੁਣਹੁ ਜਨ ਭਾਈ ਹਰਿ ਸਤਿਗੁਰ ਕੀ ਇਕ ਸਾਖੀ ॥
1677297419,random,Bhai Tejinderpal Singh Ji Dulla,00:25:40,645,8845,Rakh pita prabh mere (fire vibes. Track with Dulla ji x hps ji),https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/sc/nirbankeertan/Garath parath gehi laehu angur (Dulla Ji).mp3,ਰਾਖੁ ਪਿਤਾ ਪ੍ਰਭ ਮੇਰੇ ॥
1677297780,random,Bhai Tejinderpal Singh Ji Dulla,00:00:00,1209,14294,Thus dita puraa satguru (fire simran at 15 min),https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Tejinderpal Singh Dulla/Bhai Tejinderpal Singh Dulla - Thus dhithaa poorai sathiguroo har dhhan sach akhutt.mp3,ਤੁਸਿ ਦਿਤਾ ਪੂਰੈ ਸਤਿਗੁਰੂ ਹਰਿ ਧਨੁ ਸਚੁ ਅਖੁਟੁ ॥
1677298155,random,Bhai Mohinder Singh Ji SDO,00:00:00,1648,20034,Dhan so vela jit meh satgur milya (fire simran at 19:20),https://sikhsoul.com/golden_khajana_files/mp3/Keertan/Bhai Mohinder Singh SDO/Dhhann S Vaelaa Jith Mai Sathigur Miliaa 1.mp3,ਧੰਨੁ ਸੁ ਵੇਲਾ ਜਿਤੁ ਮੈ ਸਤਿਗੁਰੁ ਮਿਲਿਆ ਸੋ ਸਹੁ ਚਿਤਿ ਆਇਆ ॥
1677298569,random,Bhai Tejinderpal Singh Ji Dulla,00:30:30,2874,32383,Simar simar simar gur apna soya ,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/yt/D 162 MGA DULLA 162 Din Darad Dukh Bhanjna Jaspal S Tabla JSUK 2005 USA-d8noIiQ5ULU.m4a,ਸਿਮਰਿ ਸਿਮਰਿ ਸਿਮਰਿ ਗੁਰੁ ਅਪੁਨਾ ਸੋਇਆ ਮਨੁ ਜਾਗਾਈ ॥੨੩॥
1677299125,random,Bhai Tejinderpal Singh Ji Dulla,00:00:00,4073,48478,Jivat Jivat Jivat raho,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/yt/D 001 MGA DULLA 001 Jivat Jivat Jivat Raho 12 06 04 1 P burgh-bxL 4Eaun1U.m4a,ਜੀਵਤ ਜੀਵਤ ਜੀਵਤ ਰਹਹੁ ॥
1677299297,random,Bhai Tejinderpal Singh Ji Dulla,00:40:10,4342,52277,Feeke har ke naam bin Saadh ,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/dulla_ji/yt/D 001 MGA DULLA 001 Jivat Jivat Jivat Raho 12 06 04 1 P burgh-bxL 4Eaun1U.m4a,ਫੀਕੇ ਹਰਿ ਕੇ ਨਾਮ ਬਿਨੁ ਸਾਦ ॥
1679337780,random,Bhai Mohinder Singh Ji SDO,00:06:00,,202893,Sukh sagar gur chad ke,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/685 MGA SDO 1647 So kishh Kar Jit Chhutte Prani B 03 1971 Moga SPOOL BS 16 52.m4a,
1679339876,random,Bhai Mohinder Singh Ji SDO,00:16:55,,15269,Samaj man baura re,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/685 MGA SDO 1647 So kishh Kar Jit Chhutte Prani B 03 1971 Moga SPOOL BS 16 52.m4a,
1679340751,random,Bhai Mohinder Singh Ji SDO,00:25:30,647,8869,bikhye Bach har each -> Chod Chod re bekhiyaa ke rasooaa,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/685 MGA SDO 1647 So kishh Kar Jit Chhutte Prani B 03 1971 Moga SPOOL BS 16 52.m4a,ਛੋਡਿ ਛੋਡਿ ਰੇ ਬਿਖਿਆ ਕੇ ਰਸੂਆ ॥
1679341145,random,Bhai Mohinder Singh Ji SDO,00:29:40,2650,30034,"bhagat har jasua -> har har jas ghumar pavo, bhagat drriRavo",https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/685 MGA SDO 1647 So kishh Kar Jit Chhutte Prani B 03 1971 Moga SPOOL BS 16 52.m4a,ਹਰਿ ਹਰਿ ਹਰਿ ਜਸੁ ਘੂਮਰਿ ਪਾਵਹੁ ਮਿਲਿ ਸਤਸੰਗਿ ਓੁਮਾਹਾ ਰਾਮ ॥੨॥
1686341734,SDO_MGA_1,Bhai Mohinder Singh Ji SDO,00:00:00,1442,16932,Pardesh jhag saude. Chill,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/001 MGA SDO 1001 SDOBradford1 Pardesh jhak Soude Ko Ayaaia.m4a,ਪਰਦੇਸੁ ਝਾਗਿ ਸਉਦੇ ਕਉ ਆਇਆ ॥
1686341896,SDO_MGA_1,Bhai Mohinder Singh Ji SDO,00:19:15,5190,58494,keso keso kookiyee,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/001 MGA SDO 1001 SDOBradford1 Pardesh jhak Soude Ko Ayaaia.m4a,ਕਬੀਰ ਕੇਸੋ ਕੇਸੋ ਕੂਕੀਐ ਨ ਸੋਈਐ ਅਸਾਰ ॥
1686343931,SDO_MGA_1,Bhai Mohinder Singh Ji SDO,00:20:35,,,raam raam bol bol khoj te -> khojat khoat bheeii baaragan,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/001 MGA SDO 1001 SDOBradford1 Pardesh jhak Soude Ko Ayaaia.m4a,
1686344041,SDO_MGA_1,Bhai Mohinder Singh Ji SDO,00:23:05,2883,32567,hoo ayaa doooah chal kee. Gunvanti,https://s3.us-east-1.amazonaws.com/keerat.xyz/keertan/sdo/yt_mga/001 MGA SDO 1001 SDOBradford1 Pardesh jhak Soude Ko Ayaaia.m4a,ਹਉ ਆਇਆ ਦੂਰਹੁ ਚਲਿ ਕੈ ਮੈ ਤਕੀ ਤਉ ਸਰਣਾਇ ਜੀਉ ॥
